internal_project_id,project_name,ministry,agency,sector,state,project_type,approval_date,start_date,original_end_date,revised_end_date,original_cost_cr,revised_cost_cr,project_code,legacy_ocms_code,pmgid
PAI-01303,University Education Project 01303,"Ministry of Ports, Shipping & Waterways",Jal Board,Education,Mizoram,University,2023-07-02,2023-11-12,2027-06-07,2027-06-07,18.67,18.96,PRJ-578357,OCMS-534149,PM-6356661
PAI-01304,Harbour Ports Project 01304,Ministry of Housing & Urban Affairs,CPWD,Ports,Himachal Pradesh,Harbour,2024-08-22,2024-11-05,2027-04-27,2027-04-27,15.59,15.77,PRJ-572761,OCMS-911333,PM-4264561
PAI-01305,Bridge Roads Project 01305,Ministry of Power,State PWD,Roads,Assam,Bridge,2023-04-29,2024-01-29,2028-11-06,2029-01-05,90.14,93.56,PRJ-744340,OCMS-686113,PM-7864481
PAI-01306,Station Railways Project 01306,Ministry of Power,RVNL,Railways,West Bengal,Station,2024-04-29,2024-09-22,2027-09-10,2027-10-10,17.89,19.28,PRJ-470956,OCMS-295691,PM-5555221
PAI-01307,Dam Water Project 01307,Ministry of Education,NTPC,Water,Himachal Pradesh,Dam,2023-11-18,2024-07-23,2026-07-25,2026-07-25,36.79,40.78,PRJ-814341,OCMS-124480,PM-9066940
PAI-01308,Renewable Energy Power Project 01308,Ministry of Jal Shakti,RVNL,Power,Maharashtra,Renewable Energy,2024-08-12,2025-06-05,2028-04-13,2028-04-13,39.2,48.58,PRJ-563268,OCMS-465692,PM-1906782
PAI-01309,Urban Mobility Urban Development Project 01309,Ministry of Education,NHAI,Urban Development,Haryana,Urban Mobility,2024-06-28,2024-08-12,2028-05-24,2028-05-24,6.86,7.43,PRJ-478078,OCMS-399172,PM-4825093
PAI-01310,Medical College Healthcare Project 01310,Ministry of Road Transport & Highways,RVNL,Healthcare,Odisha,Medical College,2023-02-07,2023-04-29,2024-12-19,2024-12-19,49.01,60.55,PRJ-497050,OCMS-463427,PM-2601209
PAI-01311,Research Facility Education Project 01311,Ministry of Road Transport & Highways,State PWD,Education,Mizoram,Research Facility,2023-12-24,2024-10-09,2028-07-26,2028-09-24,61.42,64.8,PRJ-194864,OCMS-238021,PM-8811673
PAI-01312,Terminal Ports Project 01312,Ministry of Jal Shakti,Jal Board,Ports,Kerala,Terminal,2023-03-23,2023-08-06,2026-11-10,2027-08-07,126.93,144.65,PRJ-635520,OCMS-884232,PM-5831406
PAI-01313,Road Widening Roads Project 01313,Ministry of Housing & Urban Affairs,NHPC,Roads,Goa,Road Widening,2023-11-01,2024-04-29,2029-02-28,2029-03-30,56.95,64.31,PRJ-713078,OCMS-332157,PM-6600767
PAI-01314,Bridge Railways Project 01314,"Ministry of Ports, Shipping & Waterways",National Highways Authority,Railways,Uttarakhand,Bridge,2023-03-06,2023-06-22,2028-05-08,2028-07-07,7.21,8.06,PRJ-934112,OCMS-259277,PM-6703486
PAI-01315,Water Supply Water Project 01315,Ministry of Jal Shakti,NHAI,Water,Maharashtra,Water Supply,2023-11-28,2024-08-13,2026-06-03,2026-11-30,10.76,12.38,PRJ-680677,OCMS-159120,PM-6541450
PAI-01316,Substation Power Project 01316,Ministry of Health & Family Welfare,CPWD,Power,Karnataka,Substation,2024-05-30,2025-02-17,2028-12-13,2028-12-13,45.08,57.57,PRJ-309846,OCMS-763495,PM-7549734
PAI-01317,Urban Mobility Urban Development Project 01317,Ministry of Railways,State PWD,Urban Development,Tamil Nadu,Urban Mobility,2024-09-21,2025-07-08,2027-05-04,2027-05-04,69.59,78.13,PRJ-511372,OCMS-732254,PM-9556600
PAI-01318,Hospital Healthcare Project 01318,Ministry of Jal Shakti,CPWD,Healthcare,Punjab,Hospital,2024-10-28,2025-01-12,2027-10-12,2027-10-12,126.42,146.32,PRJ-942879,OCMS-692088,PM-6141598
PAI-01319,Research Facility Education Project 01319,Ministry of Health & Family Welfare,NHPC,Education,Uttar Pradesh,Research Facility,2023-02-02,2023-10-27,2028-05-02,2028-05-02,24.14,25.59,PRJ-296823,OCMS-312102,PM-8524966
PAI-01320,Port Expansion Ports Project 01320,Ministry of Road Transport & Highways,NTPC,Ports,Telangana,Port Expansion,2023-07-02,2023-11-09,2028-06-14,2028-12-11,9.39,9.95,PRJ-571381,OCMS-141069,PM-8787871
PAI-01321,Expressway Roads Project 01321,Ministry of Power,CPWD,Roads,Delhi,Expressway,2025-04-28,2025-09-21,2028-01-28,2028-07-26,18.17,19.11,PRJ-193386,OCMS-838445,PM-9895666
PAI-01322,Rail Corridor Railways Project 01322,Ministry of Jal Shakti,RVNL,Railways,West Bengal,Rail Corridor,2023-12-23,2024-02-23,2028-02-03,2028-04-03,89.73,94.11,PRJ-970565,OCMS-870676,PM-5047091
PAI-01323,Dam Water Project 01323,Ministry of Housing & Urban Affairs,RVNL,Water,Mizoram,Dam,2024-11-29,2025-05-15,2028-12-01,2028-12-01,30.63,36.36,PRJ-848387,OCMS-574666,PM-3838777
PAI-01324,Transmission Power Project 01324,"Ministry of Ports, Shipping & Waterways",Metro Rail Corporation,Power,Nagaland,Transmission,2023-01-11,2023-08-04,2028-01-14,2028-10-10,19.23,22.95,PRJ-444763,OCMS-785251,PM-8432950
PAI-01325,Sewage Urban Development Project 01325,Ministry of Railways,Jal Board,Urban Development,Delhi,Sewage,2024-12-08,2025-04-21,2027-04-06,2027-04-06,22.97,25.22,PRJ-612753,OCMS-590821,PM-6294753
PAI-01326,Medical College Healthcare Project 01326,Ministry of Railways,Metro Rail Corporation,Healthcare,Madhya Pradesh,Medical College,2024-06-03,2025-02-07,2026-11-10,2026-11-10,5.91,7.35,PRJ-751664,OCMS-286781,PM-3592242
PAI-01327,School Education Project 01327,Ministry of Railways,Metro Rail Corporation,Education,Bihar,School,2023-06-19,2023-11-06,2025-08-12,2025-11-10,33.28,39.01,PRJ-558412,OCMS-507632,PM-8084234
PAI-01328,Logistics Hub Ports Project 01328,Ministry of Housing & Urban Affairs,State PWD,Ports,Meghalaya,Logistics Hub,2024-10-09,2025-04-01,2028-09-12,2028-10-12,17.27,21.01,PRJ-617213,OCMS-100884,PM-9363412
PAI-01329,Road Widening Roads Project 01329,"Ministry of Ports, Shipping & Waterways",Metro Rail Corporation,Roads,Kerala,Road Widening,2023-01-12,2023-07-04,2025-08-22,2025-11-20,25.26,31.56,PRJ-953440,OCMS-798451,PM-8972000
PAI-01330,Bridge Railways Project 01330,Ministry of Education,RVNL,Railways,Rajasthan,Bridge,2024-05-21,2024-08-20,2028-05-14,2028-06-13,4.1,4.81,PRJ-719530,OCMS-835911,PM-8565630
PAI-01331,Dam Water Project 01331,Ministry of Road Transport & Highways,Metro Rail Corporation,Water,Tamil Nadu,Dam,2023-10-02,2024-04-12,2027-04-02,2027-04-02,20.43,25.07,PRJ-521584,OCMS-914298,PM-8495114
PAI-01332,Renewable Energy Power Project 01332,"Ministry of Ports, Shipping & Waterways",RVNL,Power,Haryana,Renewable Energy,2024-01-01,2024-05-05,2027-05-22,2027-05-22,22.1,22.48,PRJ-578637,OCMS-628554,PM-2735379
PAI-01333,Urban Mobility Urban Development Project 01333,Ministry of Housing & Urban Affairs,NHAI,Urban Development,Jharkhand,Urban Mobility,2023-04-28,2023-08-20,2025-07-19,2025-08-18,48.53,54.06,PRJ-160352,OCMS-190231,PM-1918433
PAI-01334,Medical College Healthcare Project 01334,"Ministry of Ports, Shipping & Waterways",NHPC,Healthcare,Delhi,Medical College,2024-10-12,2025-04-07,2027-12-19,2027-12-19,48.01,55.02,PRJ-491211,OCMS-831177,PM-3577830
PAI-01335,School Education Project 01335,Ministry of Jal Shakti,Jal Board,Education,Goa,School,2025-03-18,2025-06-07,2027-09-05,2027-10-05,73.71,77.88,PRJ-634631,OCMS-585350,PM-3125431
PAI-01336,Port Expansion Ports Project 01336,Ministry of Jal Shakti,National Highways Authority,Ports,Madhya Pradesh,Port Expansion,2023-09-13,2023-10-30,2026-04-28,2026-04-28,13.63,13.93,PRJ-368844,OCMS-777877,PM-7715329
PAI-01337,Highway Roads Project 01337,Ministry of Road Transport & Highways,Metro Rail Corporation,Roads,West Bengal,Highway,2025-05-31,2026-02-05,2030-12-10,2031-06-08,62.57,76.43,PRJ-246284,OCMS-887946,PM-4629599
PAI-01338,Station Railways Project 01338,"Ministry of Ports, Shipping & Waterways",National Highways Authority,Railways,Uttar Pradesh,Station,2025-02-23,2025-07-03,2029-06-08,2029-06-08,150.29,169.21,PRJ-130915,OCMS-946394,PM-7887016
PAI-01339,Water Supply Water Project 01339,Ministry of Power,National Highways Authority,Water,Tripura,Water Supply,2024-09-09,2025-02-27,2026-11-10,2027-08-07,63.86,72.67,PRJ-528741,OCMS-633433,PM-5315775
PAI-01340,Renewable Energy Power Project 01340,"Ministry of Ports, Shipping & Waterways",CPWD,Power,Assam,Renewable Energy,2024-02-17,2024-07-02,2026-03-24,2026-03-24,19.7,20.5,PRJ-215572,OCMS-403786,PM-2660808
PAI-01341,Sewage Urban Development Project 01341,Ministry of Railways,Metro Rail Corporation,Urban Development,Telangana,Sewage,2023-10-29,2024-05-09,2026-02-08,2026-04-09,248.54,300.58,PRJ-225311,OCMS-752476,PM-4226678
PAI-01342,Health Centre Healthcare Project 01342,Ministry of Road Transport & Highways,NHAI,Healthcare,Uttar Pradesh,Health Centre,2023-08-04,2024-02-11,2027-08-15,2027-08-15,115.72,138.16,PRJ-503236,OCMS-727487,PM-8292825
PAI-01343,Research Facility Education Project 01343,Ministry of Health & Family Welfare,RVNL,Education,Haryana,Research Facility,2023-03-05,2023-12-26,2026-01-31,2026-01-31,16.5,18.79,PRJ-564445,OCMS-367052,PM-2975473
PAI-01344,Terminal Ports Project 01344,Ministry of Health & Family Welfare,NHPC,Ports,Rajasthan,Terminal,2023-08-20,2023-12-07,2028-02-04,2028-05-04,23.03,23.5,PRJ-568144,OCMS-381661,PM-2290171
PAI-01345,Road Widening Roads Project 01345,Ministry of Health & Family Welfare,NHPC,Roads,Goa,Road Widening,2024-02-18,2024-05-23,2028-10-21,2028-10-21,4.76,5.49,PRJ-257660,OCMS-423581,PM-6468668
PAI-01346,Bridge Railways Project 01346,Ministry of Housing & Urban Affairs,National Highways Authority,Railways,Rajasthan,Bridge,2024-03-06,2024-09-23,2028-06-24,2028-06-24,107.44,117.53,PRJ-796287,OCMS-128809,PM-7617580
PAI-01347,Dam Water Project 01347,Ministry of Education,IRCON,Water,Assam,Dam,2025-02-21,2025-08-22,2030-04-02,2030-09-29,33.67,42.55,PRJ-173946,OCMS-952281,PM-9769749
PAI-01348,Generation Power Project 01348,Ministry of Jal Shakti,NTPC,Power,Maharashtra,Generation,2023-04-26,2023-11-23,2027-08-19,2027-08-19,6.31,7.29,PRJ-987492,OCMS-961769,PM-3248769
PAI-01349,Metro Urban Development Project 01349,Ministry of Health & Family Welfare,Metro Rail Corporation,Urban Development,Punjab,Metro,2023-07-29,2023-12-12,2028-10-11,2028-10-11,24.21,29.55,PRJ-729228,OCMS-709087,PM-5017050
PAI-01350,Hospital Healthcare Project 01350,"Ministry of Ports, Shipping & Waterways",IRCON,Healthcare,Maharashtra,Hospital,2023-01-17,2023-06-10,2028-05-01,2028-06-30,58.81,67.02,PRJ-189928,OCMS-986343,PM-8264032
PAI-01351,University Education Project 01351,Ministry of Road Transport & Highways,National Highways Authority,Education,Uttar Pradesh,University,2023-08-16,2024-03-18,2026-06-20,2026-09-18,47.06,48.94,PRJ-147899,OCMS-641179,PM-8797249
PAI-01352,Terminal Ports Project 01352,Ministry of Railways,Metro Rail Corporation,Ports,Madhya Pradesh,Terminal,2024-12-18,2025-04-10,2028-06-30,2028-08-29,47.58,59.83,PRJ-627688,OCMS-655922,PM-3501580
PAI-01353,Road Widening Roads Project 01353,Ministry of Housing & Urban Affairs,National Highways Authority,Roads,Andhra Pradesh,Road Widening,2025-05-19,2025-08-21,2030-03-29,2030-03-29,19.67,20.11,PRJ-974214,OCMS-202364,PM-1881353
PAI-01354,Rail Corridor Railways Project 01354,Ministry of Jal Shakti,Jal Board,Railways,Andhra Pradesh,Rail Corridor,2023-12-01,2024-02-24,2026-06-24,2026-06-24,43.06,43.15,PRJ-631780,OCMS-132919,PM-6451956
PAI-01355,River Management Water Project 01355,Ministry of Railways,RVNL,Water,Jharkhand,River Management,2023-07-14,2023-12-13,2026-12-19,2026-12-19,15.61,16.08,PRJ-344096,OCMS-429112,PM-1623766
PAI-01356,Transmission Power Project 01356,Ministry of Railways,Metro Rail Corporation,Power,Uttarakhand,Transmission,2023-12-16,2024-03-20,2027-12-19,2027-12-19,15.81,16.7,PRJ-251418,OCMS-346948,PM-5765277
PAI-01357,Sewage Urban Development Project 01357,Ministry of Health & Family Welfare,NTPC,Urban Development,Odisha,Sewage,2024-10-27,2025-05-06,2029-08-12,2029-08-12,14.88,18.49,PRJ-132561,OCMS-445663,PM-1381914
PAI-01358,Medical College Healthcare Project 01358,Ministry of Health & Family Welfare,State PWD,Healthcare,Tamil Nadu,Medical College,2023-03-08,2023-11-12,2026-12-10,2027-01-09,33.45,35.92,PRJ-870533,OCMS-500170,PM-6903302
PAI-01359,University Education Project 01359,Ministry of Jal Shakti,State PWD,Education,Himachal Pradesh,University,2024-10-02,2024-12-24,2029-04-07,2029-07-06,8.63,11.0,PRJ-593503,OCMS-737875,PM-2762845
PAI-01360,Logistics Hub Ports Project 01360,Ministry of Road Transport & Highways,Metro Rail Corporation,Ports,Uttar Pradesh,Logistics Hub,2024-11-07,2024-12-27,2026-11-10,2026-12-10,140.43,164.17,PRJ-449821,OCMS-693522,PM-5367172
PAI-01361,Bridge Roads Project 01361,Ministry of Railways,NHPC,Roads,Uttar Pradesh,Bridge,2023-02-17,2023-03-19,2026-11-20,2026-11-20,30.01,30.82,PRJ-938206,OCMS-691603,PM-9800766
PAI-01362,Freight Corridor Railways Project 01362,Ministry of Health & Family Welfare,NHAI,Railways,Manipur,Freight Corridor,2023-06-01,2023-07-20,2025-10-17,2025-10-17,28.43,29.06,PRJ-394054,OCMS-313863,PM-8781613
PAI-01363,Dam Water Project 01363,Ministry of Power,Jal Board,Water,Delhi,Dam,2024-06-26,2025-01-25,2027-02-25,2027-08-24,85.35,93.86,PRJ-697705,OCMS-847562,PM-5023674
PAI-01364,Renewable Energy Power Project 01364,"Ministry of Ports, Shipping & Waterways",IRCON,Power,Maharashtra,Renewable Energy,2023-12-22,2024-07-16,2028-08-13,2028-08-13,32.64,38.99,PRJ-944880,OCMS-388220,PM-5176580
PAI-01365,Housing Urban Development Project 01365,Ministry of Road Transport & Highways,RVNL,Urban Development,Sikkim,Housing,2023-02-02,2023-05-29,2026-01-08,2026-10-05,142.32,163.89,PRJ-170327,OCMS-885277,PM-4332211
PAI-01366,Medical College Healthcare Project 01366,Ministry of Health & Family Welfare,RVNL,Healthcare,Sikkim,Medical College,2024-04-10,2024-06-03,2029-05-07,2029-05-07,83.11,94.85,PRJ-694161,OCMS-464389,PM-5853911
PAI-01367,Research Facility Education Project 01367,Ministry of Education,IRCON,Education,Rajasthan,Research Facility,2023-03-05,2023-05-20,2026-01-02,2026-01-02,34.21,36.65,PRJ-181023,OCMS-743401,PM-1146697
PAI-01368,Terminal Ports Project 01368,"Ministry of Ports, Shipping & Waterways",NHPC,Ports,Tamil Nadu,Terminal,2023-02-28,2023-05-03,2026-06-14,2026-06-14,31.02,38.55,PRJ-919221,OCMS-208104,PM-6165249
PAI-01369,Bridge Roads Project 01369,Ministry of Jal Shakti,Jal Board,Roads,Madhya Pradesh,Bridge,2025-06-09,2026-02-22,2030-03-15,2030-03-15,192.77,213.37,PRJ-387401,OCMS-715664,PM-5058053
PAI-01370,Freight Corridor Railways Project 01370,"Ministry of Ports, Shipping & Waterways",NHPC,Railways,Haryana,Freight Corridor,2023-05-08,2023-10-29,2026-06-15,2026-06-15,30.47,33.51,PRJ-198578,OCMS-743183,PM-3314041
PAI-01371,River Management Water Project 01371,Ministry of Railways,Metro Rail Corporation,Water,Punjab,River Management,2024-04-29,2024-09-03,2027-08-06,2027-10-05,14.47,17.82,PRJ-802375,OCMS-917010,PM-3128405
PAI-01372,Substation Power Project 01372,Ministry of Housing & Urban Affairs,State PWD,Power,Andhra Pradesh,Substation,2024-01-13,2024-06-17,2026-06-06,2026-06-06,9.49,9.92,PRJ-300427,OCMS-479700,PM-9300984
PAI-01373,Urban Mobility Urban Development Project 01373,Ministry of Jal Shakti,National Highways Authority,Urban Development,Tripura,Urban Mobility,2024-09-26,2025-07-06,2030-05-12,2030-05-12,26.6,29.61,PRJ-820135,OCMS-788253,PM-8510704
PAI-01374,Hospital Healthcare Project 01374,Ministry of Road Transport & Highways,CPWD,Healthcare,Karnataka,Hospital,2023-12-24,2024-01-30,2028-10-14,2029-07-11,6.16,7.4,PRJ-861907,OCMS-158053,PM-1205731
PAI-01375,Research Facility Education Project 01375,"Ministry of Ports, Shipping & Waterways",NHPC,Education,Odisha,Research Facility,2023-12-21,2024-02-29,2028-12-28,2029-06-26,7.59,8.58,PRJ-526160,OCMS-132804,PM-4344047
PAI-01376,Logistics Hub Ports Project 01376,Ministry of Power,NTPC,Ports,Telangana,Logistics Hub,2023-04-09,2023-07-11,2025-01-15,2025-01-15,37.1,45.05,PRJ-730788,OCMS-532435,PM-8855864
PAI-01377,Expressway Roads Project 01377,Ministry of Jal Shakti,RVNL,Roads,Andhra Pradesh,Expressway,2023-03-27,2023-08-04,2025-03-28,2025-03-28,66.81,75.21,PRJ-624512,OCMS-675547,PM-3201413
PAI-01378,Freight Corridor Railways Project 01378,Ministry of Health & Family Welfare,National Highways Authority,Railways,Uttarakhand,Freight Corridor,2023-08-29,2024-02-07,2028-07-24,2028-07-24,35.34,41.37,PRJ-667743,OCMS-639541,PM-1175638
PAI-01379,Dam Water Project 01379,Ministry of Housing & Urban Affairs,IRCON,Water,Nagaland,Dam,2024-10-30,2025-06-24,2028-09-22,2028-09-22,42.55,46.8,PRJ-906798,OCMS-618597,PM-3971737
PAI-01380,Renewable Energy Power Project 01380,Ministry of Railways,NHPC,Power,Himachal Pradesh,Renewable Energy,2024-07-22,2025-01-12,2028-08-07,2028-08-07,192.91,219.84,PRJ-134237,OCMS-213248,PM-2675860
PAI-01381,Housing Urban Development Project 01381,"Ministry of Ports, Shipping & Waterways",NTPC,Urban Development,Mizoram,Housing,2025-05-19,2025-10-08,2029-12-15,2029-12-15,15.43,18.27,PRJ-941288,OCMS-680009,PM-6787162
PAI-01382,Health Centre Healthcare Project 01382,Ministry of Power,Jal Board,Healthcare,Tripura,Health Centre,2023-09-21,2023-10-22,2025-11-19,2025-11-19,45.75,53.63,PRJ-675495,OCMS-594850,PM-8763727
PAI-01383,School Education Project 01383,"Ministry of Ports, Shipping & Waterways",Jal Board,Education,Maharashtra,School,2025-03-30,2025-12-25,2030-09-26,2030-09-26,5.93,7.53,PRJ-247325,OCMS-938295,PM-4746965
PAI-01384,Harbour Ports Project 01384,Ministry of Jal Shakti,IRCON,Ports,Karnataka,Harbour,2023-10-26,2024-05-09,2029-02-07,2029-04-08,10.77,13.69,PRJ-658800,OCMS-362256,PM-1061906
PAI-01385,Road Widening Roads Project 01385,Ministry of Jal Shakti,RVNL,Roads,Karnataka,Road Widening,2024-08-27,2024-11-30,2029-07-18,2029-07-18,78.2,89.29,PRJ-953043,OCMS-353973,PM-3722308
PAI-01386,Bridge Railways Project 01386,"Ministry of Ports, Shipping & Waterways",NHPC,Railways,Bihar,Bridge,2025-05-17,2025-07-21,2028-01-24,2028-01-24,21.27,22.13,PRJ-296696,OCMS-247557,PM-2604789
PAI-01387,Dam Water Project 01387,Ministry of Jal Shakti,NHAI,Water,Tamil Nadu,Dam,2024-07-17,2024-12-26,2026-11-06,2026-12-06,52.46,57.05,PRJ-116966,OCMS-994047,PM-5984999
PAI-01388,Substation Power Project 01388,Ministry of Road Transport & Highways,NTPC,Power,Punjab,Substation,2025-04-17,2025-09-20,2028-07-04,2028-09-02,26.76,32.17,PRJ-555887,OCMS-420864,PM-4898592
PAI-01389,Sewage Urban Development Project 01389,Ministry of Health & Family Welfare,IRCON,Urban Development,Jharkhand,Sewage,2023-11-02,2024-03-23,2026-07-09,2026-09-07,16.18,19.55,PRJ-287582,OCMS-858666,PM-6217578
PAI-01390,Health Centre Healthcare Project 01390,Ministry of Jal Shakti,CPWD,Healthcare,Punjab,Health Centre,2024-02-02,2024-09-17,2026-07-11,2026-08-10,102.44,121.69,PRJ-507270,OCMS-391743,PM-2489752
PAI-01391,School Education Project 01391,Ministry of Road Transport & Highways,NHAI,Education,Bihar,School,2024-12-31,2025-03-07,2029-11-08,2029-11-08,8.12,9.2,PRJ-808121,OCMS-393972,PM-5629088
PAI-01392,Port Expansion Ports Project 01392,Ministry of Road Transport & Highways,Jal Board,Ports,Himachal Pradesh,Port Expansion,2024-04-27,2024-09-03,2027-01-21,2027-04-21,63.09,71.31,PRJ-475241,OCMS-372616,PM-6070065
PAI-01393,Highway Roads Project 01393,Ministry of Housing & Urban Affairs,State PWD,Roads,Tripura,Highway,2023-02-20,2023-04-06,2027-05-04,2027-06-03,19.44,19.87,PRJ-263568,OCMS-686019,PM-7919249
PAI-01394,Bridge Railways Project 01394,Ministry of Housing & Urban Affairs,Jal Board,Railways,Karnataka,Bridge,2023-02-12,2023-09-11,2028-05-25,2028-06-24,51.61,53.76,PRJ-178357,OCMS-177557,PM-5751418
PAI-01395,Irrigation Water Project 01395,Ministry of Power,RVNL,Water,Assam,Irrigation,2024-09-11,2025-02-07,2027-06-20,2027-07-20,31.65,36.55,PRJ-920535,OCMS-248980,PM-1645250
PAI-01396,Generation Power Project 01396,Ministry of Road Transport & Highways,State PWD,Power,Tamil Nadu,Generation,2023-09-04,2024-02-23,2026-04-16,2026-06-15,24.23,24.8,PRJ-513434,OCMS-574405,PM-4017937
PAI-01397,Urban Mobility Urban Development Project 01397,Ministry of Power,CPWD,Urban Development,Telangana,Urban Mobility,2023-01-04,2023-05-26,2026-04-24,2026-04-24,25.5,27.56,PRJ-735407,OCMS-668737,PM-9083226
PAI-01398,Hospital Healthcare Project 01398,Ministry of Education,NTPC,Healthcare,Karnataka,Hospital,2023-11-21,2024-07-27,2026-08-21,2026-08-21,15.24,16.62,PRJ-801448,OCMS-133626,PM-8304423
PAI-01399,University Education Project 01399,Ministry of Jal Shakti,NHPC,Education,Uttarakhand,University,2023-10-27,2024-02-16,2027-05-13,2027-05-13,25.02,31.28,PRJ-241996,OCMS-567788,PM-9608443
PAI-01400,Logistics Hub Ports Project 01400,Ministry of Education,NHAI,Ports,Sikkim,Logistics Hub,2025-02-21,2025-10-03,2027-10-30,2027-10-30,32.05,34.94,PRJ-977080,OCMS-504529,PM-6834529
PAI-01401,Highway Roads Project 01401,Ministry of Power,NTPC,Roads,Nagaland,Highway,2023-11-23,2024-09-07,2028-03-30,2028-03-30,73.91,77.19,PRJ-222842,OCMS-304957,PM-1737135
PAI-01402,Rail Corridor Railways Project 01402,Ministry of Jal Shakti,RVNL,Railways,Delhi,Rail Corridor,2024-12-22,2025-04-26,2029-09-04,2029-09-04,32.16,33.27,PRJ-391951,OCMS-455964,PM-6142783
PAI-01403,River Management Water Project 01403,Ministry of Jal Shakti,IRCON,Water,Jharkhand,River Management,2023-11-05,2024-05-10,2026-01-18,2026-01-18,61.04,62.02,PRJ-997502,OCMS-841877,PM-1041062
PAI-01404,Substation Power Project 01404,Ministry of Railways,Metro Rail Corporation,Power,Haryana,Substation,2023-11-29,2024-08-30,2027-12-25,2027-12-25,108.81,118.65,PRJ-367033,OCMS-296435,PM-6279432
PAI-01405,Housing Urban Development Project 01405,Ministry of Jal Shakti,Jal Board,Urban Development,Chhattisgarh,Housing,2023-12-29,2024-10-09,2028-06-27,2028-12-24,27.83,30.96,PRJ-581487,OCMS-609089,PM-9680007
PAI-01406,Hospital Healthcare Project 01406,Ministry of Health & Family Welfare,RVNL,Healthcare,Uttarakhand,Hospital,2024-11-18,2025-04-15,2028-05-28,2028-11-24,5.29,5.76,PRJ-892005,OCMS-774877,PM-8970200
PAI-01407,School Education Project 01407,Ministry of Railways,Metro Rail Corporation,Education,Bihar,School,2025-05-19,2025-10-15,2028-10-13,2028-10-13,15.54,18.17,PRJ-668471,OCMS-560074,PM-6639647
PAI-01408,Port Expansion Ports Project 01408,Ministry of Housing & Urban Affairs,NHPC,Ports,Maharashtra,Port Expansion,2024-01-21,2024-11-09,2026-11-10,2027-01-09,15.94,18.91,PRJ-921772,OCMS-929187,PM-3266454
PAI-01409,Road Widening Roads Project 01409,Ministry of Railways,CPWD,Roads,Nagaland,Road Widening,2024-07-29,2024-09-17,2028-05-20,2028-05-20,24.54,26.98,PRJ-183722,OCMS-349246,PM-8654531
PAI-01410,Station Railways Project 01410,Ministry of Education,NTPC,Railways,Tamil Nadu,Station,2025-03-10,2025-09-04,2028-01-24,2028-03-24,43.93,50.19,PRJ-264322,OCMS-658493,PM-7720880
PAI-01411,Dam Water Project 01411,Ministry of Housing & Urban Affairs,NTPC,Water,Maharashtra,Dam,2025-01-16,2025-08-12,2027-10-31,2027-12-30,33.74,36.43,PRJ-119613,OCMS-205608,PM-6061334
PAI-01412,Transmission Power Project 01412,Ministry of Power,CPWD,Power,Mizoram,Transmission,2023-08-25,2023-12-23,2025-12-20,2025-12-20,84.53,95.57,PRJ-917918,OCMS-758521,PM-4445531
PAI-01413,Urban Mobility Urban Development Project 01413,Ministry of Power,NHPC,Urban Development,Tamil Nadu,Urban Mobility,2024-08-28,2025-01-02,2027-01-31,2027-01-31,31.11,37.91,PRJ-187372,OCMS-252913,PM-4354467
PAI-01414,Hospital Healthcare Project 01414,Ministry of Road Transport & Highways,Jal Board,Healthcare,Sikkim,Hospital,2024-05-01,2024-10-01,2028-04-13,2029-01-08,20.62,22.76,PRJ-329014,OCMS-677313,PM-3585105
PAI-01415,School Education Project 01415,Ministry of Jal Shakti,Jal Board,Education,Maharashtra,School,2024-06-16,2024-09-14,2029-08-17,2029-08-17,62.37,70.46,PRJ-751588,OCMS-468235,PM-4688084
PAI-01416,Terminal Ports Project 01416,Ministry of Road Transport & Highways,State PWD,Ports,Telangana,Terminal,2023-10-28,2024-07-25,2026-11-18,2026-11-18,35.76,36.59,PRJ-386886,OCMS-801876,PM-1527388
PAI-01417,Expressway Roads Project 01417,Ministry of Jal Shakti,RVNL,Roads,West Bengal,Expressway,2023-08-23,2023-10-17,2026-09-30,2026-09-30,32.27,36.97,PRJ-291166,OCMS-865773,PM-5729429
PAI-01418,Freight Corridor Railways Project 01418,Ministry of Power,RVNL,Railways,Jharkhand,Freight Corridor,2023-03-02,2023-04-24,2025-05-12,2025-05-12,9.13,11.13,PRJ-169551,OCMS-510276,PM-8918642
PAI-01419,River Management Water Project 01419,"Ministry of Ports, Shipping & Waterways",Metro Rail Corporation,Water,Madhya Pradesh,River Management,2024-09-22,2025-03-17,2028-06-05,2028-06-05,69.4,71.24,PRJ-601539,OCMS-333355,PM-2665706
PAI-01420,Transmission Power Project 01420,Ministry of Education,Metro Rail Corporation,Power,Andhra Pradesh,Transmission,2024-12-07,2025-03-27,2027-07-15,2027-07-15,48.92,54.95,PRJ-704217,OCMS-666187,PM-2719836
PAI-01421,Housing Urban Development Project 01421,Ministry of Railways,NTPC,Urban Development,Assam,Housing,2024-10-16,2025-05-24,2029-07-03,2029-08-02,11.36,14.48,PRJ-201558,OCMS-668727,PM-2117076
PAI-01422,Medical College Healthcare Project 01422,Ministry of Road Transport & Highways,NHPC,Healthcare,Mizoram,Medical College,2024-03-16,2024-11-28,2029-03-17,2029-03-17,13.47,16.96,PRJ-594550,OCMS-803699,PM-2443437
